old_enum	new_enum
Enum_0002	Enum_0001
Enum_0003	Enum_0002
Enum_0004	Enum_0003
Enum_0005	Enum_0004
Enum_0006	Enum_0005
Enum_0007	Enum_0006
Enum_0008	Enum_0007
Enum_0009	Enum_0008
Enum_0010	Enum_0008
Enum_0011	Enum_0009
Enum_0012	Enum_0010
Enum_0013	Enum_0010
Enum_0014	Enum_0009
Enum_0015	Enum_0011
Enum_0016	Enum_0011
Enum_0017	Enum_0012
Enum_0018	Enum_0013
Enum_0019	Enum_0014
Enum_0020	Enum_0015
Enum_0021	Enum_0001
Enum_0022	Enum_0001
Enum_0023	Enum_0016
Enum_0024	Enum_0017
Enum_0025	Enum_0018
Enum_0026	Enum_0018
Enum_0027	Enum_0018
Enum_0028	Enum_0018
Enum_0029	Enum_0018
Enum_0030	Enum_0018
Enum_0031	Enum_0018
Enum_0032	Enum_0018
Enum_0033	Enum_0018
Enum_0034	Enum_0018
Enum_0035	Enum_0019
Enum_0036	Enum_0018
Enum_0037	Enum_0018
Enum_0038	Enum_0019
Enum_0039	Enum_0019
Enum_0040	Enum_0018
Enum_0041	Enum_0018
Enum_0042	Enum_0018
Enum_0043	Enum_0018
Enum_0044	Enum_0018
Enum_0045	Enum_0018
Enum_0046	Enum_0018
Enum_0047	Enum_0019
Enum_0048	Enum_0018
Enum_0049	Enum_0018
Enum_0050	Enum_0018
Enum_0051	Enum_0018
Enum_0052	Enum_0018
Enum_0053	Enum_0018
Enum_0054	Enum_0018
Enum_0055	Enum_0018
Enum_0056	Enum_0020
Enum_0057	Enum_0021
Enum_0058	Enum_0001
Enum_0059	Enum_0001
Enum_0060	Enum_0022
Enum_0061	Enum_0022
Enum_0062	Enum_0018
Enum_0063	Enum_0018
Enum_0064	Enum_0023
Enum_0065	Enum_0024
Enum_0066	Enum_0025
Enum_0067	Enum_0026
Enum_0068	Enum_0027
Enum_0069	Enum_0001
Enum_0070	Enum_0001
Enum_0071	Enum_0028
Enum_0072	Enum_0029
Enum_0073	Enum_0019
Enum_0074	Enum_0018
Enum_0075	Enum_0030
Enum_0076	Enum_0030
Enum_0077	Enum_0031
Enum_0078	Enum_0031
Enum_0079	Enum_0032
Enum_0080	Enum_0033
Enum_0081	Enum_0034
Enum_0082	Enum_0035
Enum_0083	Enum_0035
Enum_0084	Enum_0036
Enum_0085	Enum_0036
Enum_0086	Enum_0037
Enum_0087	Enum_0037
